数据序号,工步类型,时间,总时间,电流(A),电压(V),容量(Ah),能量(Wh),绝对时间,功率(W),current_A,time_s,abs_time_h,step,cycle_id,SOC
1,搁置,00:00:00,00:00:00,0.0,66.3392,0.0,0.0,2025-03-26 12:13:32,0.0,0.0,0.0,0.0,rest,0,0.0
2,搁置,00:00:30,00:00:30,0.0,66.2276,0.0,0.0,2025-03-26 12:14:02,0.0,0.0,30.0,0.008333333333333333,rest,0,0.0
3,搁置,00:01:00,00:01:00,0.0,66.0491,0.0,0.0,2025-03-26 12:14:32,0.0,0.0,60.0,0.016666666666666666,rest,0,0.0
4,恒流充电,00:00:00,00:01:00,80.0285,74.5238,0.0,0.0,2025-03-26 12:14:32,5964.0294,80.0285,60.0,0.016666666666666666,charge,0,0.0
5,恒流充电,00:00:30,00:01:30,80.0099,74.6875,0.6668,49.7795,2025-03-26 12:15:02,5975.7409,80.0099,90.0,0.025,charge,0,0.0010417955729166667
6,恒流充电,00:01:00,00:02:00,80.0099,74.7395,1.3336,99.6046,2025-03-26 12:15:32,5979.9014,80.0099,120.0,0.03333333333333333,charge,0,0.0020835911458333333
7,恒流充电,00:01:30,00:02:30,80.0161,74.747,2.0004,149.4463,2025-03-26 12:16:02,5980.9642,80.0161,150.0,0.041666666666666664,charge,0,0.0031254674479166667
8,恒流充电,00:02:00,00:03:00,80.0285,74.747,2.6672,199.2869,2025-03-26 12:16:32,5981.8918,80.0285,180.0,0.05,charge,0,0.004167505208333333
9,恒流充电,00:02:30,00:03:30,80.0099,74.7321,3.334,249.1234,2025-03-26 12:17:02,5979.3093,80.0099,210.0,0.058333333333333334,charge,0,0.0052093007812500005
10,恒流充电,00:03:00,00:04:00,80.0099,74.7395,4.0008,298.9586,2025-03-26 12:17:32,5979.9014,80.0099,240.0,0.06666666666666667,charge,0,0.006251096354166668
11,恒流充电,00:03:30,00:04:30,80.0037,74.7321,4.6676,348.7957,2025-03-26 12:18:02,5978.846,80.0037,270.0,0.075,charge,0,0.007292811197916667
12,恒流充电,00:04:00,00:05:00,80.0223,74.747,5.3344,398.6331,2025-03-26 12:18:32,5981.4284,80.0223,300.0,0.08333333333333333,charge,0,0.008334768229166668
13,恒流充电,00:04:30,00:05:30,80.0161,74.7544,6.0012,448.4735,2025-03-26 12:19:02,5981.5563,80.0161,330.0,0.09166666666666666,charge,0,0.00937664453125
14,恒流充电,00:05:00,00:06:00,80.0223,74.7544,6.668,498.318,2025-03-26 12:19:32,5982.0205,80.0223,360.0,0.1,charge,0,0.010418601562500001
15,恒流充电,00:05:30,00:06:30,80.0099,74.7619,7.3348,548.1683,2025-03-26 12:20:02,5981.6936,80.0099,390.0,0.10833333333333334,charge,0,0.011460397135416668
16,恒流充电,00:06:00,00:07:00,80.0099,74.7767,8.0016,598.0249,2025-03-26 12:20:32,5982.8778,80.0099,420.0,0.11666666666666667,charge,0,0.012502192708333335
17,恒流充电,00:06:30,00:07:30,80.0099,74.7842,8.6685,647.8887,2025-03-26 12:21:02,5983.4779,80.0099,450.0,0.125,charge,0,0.013543988281250002
18,恒流充电,00:07:00,00:08:00,80.0099,74.7991,9.3353,697.7622,2025-03-26 12:21:32,5984.67,80.0099,480.0,0.13333333333333333,charge,0,0.01458578385416667
19,恒流充电,00:07:30,00:08:30,80.0223,74.8065,10.0021,747.643,2025-03-26 12:22:02,5986.1897,80.0223,510.0,0.14166666666666666,charge,0,0.015627740885416668
20,恒流充电,00:08:00,00:09:00,80.0161,74.8214,10.6689,797.5317,2025-03-26 12:22:32,5986.9174,80.0161,540.0,0.15,charge,0,0.016669617187500003
21,恒流充电,00:08:30,00:09:30,80.0099,74.8363,11.3357,847.4314,2025-03-26 12:23:02,5987.6464,80.0099,570.0,0.15833333333333333,charge,0,0.01771141276041667
22,恒流充电,00:09:00,00:10:00,80.0099,74.8586,12.0025,897.3411,2025-03-26 12:23:32,5989.4306,80.0099,600.0,0.16666666666666666,charge,0,0.018753208333333337
23,恒流充电,00:09:30,00:10:30,80.0037,74.8735,12.6693,947.2621,2025-03-26 12:24:02,5990.1585,80.0037,630.0,0.175,charge,0,0.019794923177083337
24,恒流充电,00:10:00,00:11:00,80.0037,74.8883,13.3361,997.194,2025-03-26 12:24:32,5991.3426,80.0037,660.0,0.18333333333333332,charge,0,0.020836638020833336
25,恒流充电,00:10:30,00:11:30,80.0223,74.9107,14.0029,1047.1372,2025-03-26 12:25:02,5994.528,80.0223,690.0,0.19166666666666668,charge,0,0.021878595052083335
26,恒流充电,00:11:00,00:12:00,80.0161,74.9255,14.6697,1097.0898,2025-03-26 12:25:32,5995.247,80.0161,720.0,0.2,charge,0,0.02292047135416667
27,恒流充电,00:11:30,00:12:30,80.0037,74.9404,15.3365,1147.0563,2025-03-26 12:26:02,5995.5108,80.0037,750.0,0.20833333333333334,charge,0,0.02396218619791667
