t,I,V,gt
0.000000,0.000000,66.339200,0.000000
30.000000,0.000000,66.227600,0.000000
60.000000,0.000000,66.049100,0.000000
60.000000,80.028500,74.523800,0.000000
90.000000,80.009900,74.687500,0.001042
120.000000,80.009900,74.739500,0.002084
150.000000,80.016100,74.747000,0.003125
180.000000,80.028500,74.747000,0.004168
210.000000,80.009900,74.732100,0.005209
240.000000,80.009900,74.739500,0.006251
270.000000,80.003700,74.732100,0.007293
300.000000,80.022300,74.747000,0.008335
330.000000,80.016100,74.754400,0.009377
360.000000,80.022300,74.754400,0.010419
390.000000,80.009900,74.761900,0.011460
420.000000,80.009900,74.776700,0.012502
450.000000,80.009900,74.784200,0.013544
480.000000,80.009900,74.799100,0.014586
510.000000,80.022300,74.806500,0.015628
540.000000,80.016100,74.821400,0.016670
570.000000,80.009900,74.836300,0.017711
600.000000,80.009900,74.858600,0.018753
630.000000,80.003700,74.873500,0.019795
660.000000,80.003700,74.888300,0.020837
690.000000,80.022300,74.910700,0.021879
720.000000,80.016100,74.925500,0.022920
750.000000,80.003700,74.940400,0.023962
780.000000,80.009900,74.955300,0.025004
810.000000,80.022300,74.977600,0.026046
840.000000,80.009900,74.992500,0.027088
870.000000,80.022300,75.007400,0.028130
900.000000,80.009900,75.022300,0.029171
930.000000,80.022300,75.037200,0.030213
960.000000,80.016100,75.052000,0.031255
990.000000,80.022300,75.066900,0.032297
1020.000000,80.022300,75.081800,0.033339
1050.000000,80.009900,75.096700,0.034381
1080.000000,80.022300,75.111600,0.035423
1110.000000,80.028500,75.119000,0.036465
1140.000000,80.016100,75.133900,0.037507
1170.000000,80.009900,75.141300,0.038549
1200.000000,80.022300,75.156200,0.039591
1230.000000,80.016100,75.163600,0.040633
1260.000000,80.022300,75.178500,0.041674
1290.000000,80.016100,75.186000,0.042716
1320.000000,80.009900,75.200800,0.043758
1350.000000,80.009900,75.215700,0.044800
1380.000000,80.009900,75.223200,0.045842
1410.000000,80.009900,75.230600,0.046884
1440.000000,80.022300,75.252900,0.047926
1470.000000,80.022300,75.260400,0.048967
1500.000000,80.016100,75.275200,0.050009
1530.000000,80.016100,75.282700,0.051051
1560.000000,80.009900,75.290100,0.052093
1590.000000,80.022300,75.312500,0.053135
1620.000000,80.022300,75.312500,0.054177
1650.000000,80.003700,75.327300,0.055219
1680.000000,80.009900,75.334800,0.056260
1710.000000,80.016100,75.349700,0.057302
1740.000000,80.016100,75.364500,0.058344
1770.000000,80.016100,75.372000,0.059386
1800.000000,80.009900,75.379400,0.060428
